PostalCode,Borough,Neighborhood,Latitude,Longitude
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66509000000008,-79.43870999999996
M6J,West Toronto,"Little Portugal, Trinity",43.64873000000006,-79.41783999999996
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639410000000055,-79.42675999999994
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.71381000000008,-79.48830999999996
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.69468000000006,-79.48346999999995
M6N,York,"Runnymede, The Junction North",43.676180000000045,-79.48251999999997
M6P,West Toronto,"High Park, The Junction South",43.65994000000006,-79.46301999999997
M6R,West Toronto,"Parkdale, Roncesvalles",43.64785000000006,-79.45019999999994
M6S,West Toronto,"Runnymede, Swansea",43.65034000000003,-79.47570999999994
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66449000000006,-79.39301999999998
M7R,Mississauga,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999996
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.648690000000045,-79.38543999999996
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60987000000006,-79.49692999999996
M8W,Etobicoke,"Alderwood, Long Branch",43.601080000000024,-79.53890999999999
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65369000000004,-79.51111999999995
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.63288000000006,-79.48954999999995
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.624630000000025,-79.52834999999999
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.66277000000008,-79.52830999999998
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65279000000004,-79.55405999999994
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.648900000000026,-79.57824999999997
M9L,North York,Humber Summit,43.75948000000005,-79.55724999999995
M9M,North York,"Humberlea, Emery",43.733670000000075,-79.53686999999996
M9N,York,Weston,43.70357000000007,-79.51644999999996
M9P,Etobicoke,Westmount,43.69623000000007,-79.52925999999997
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.68674000000004,-79.55728999999997
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.744530000000054,-79.58623999999998
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.71174000000008,-79.57917999999995
